,Date,Total Confirmed,Total Deaths,New Confirmed,New Deaths,Total Vaccinations,People Vaccinated,People Fully Vaccinated,New Total Vaccinations,New People Vaccinated,New People Fully Vaccinated
728,9/14/21,226377372,4650754,550410.0,9953.0,5495101288.0,2035946274.0,1303715686.0,21616887.0,8233098.0,8548576.0
729,9/15/20,29624708,983057,280182.0,6576.0,0.0,0.0,0.0,0.0,0.0,0.0
730,9/15/21,226948235,4661232,570863.0,10478.0,5425171883.0,1974089998.0,2281623935.0,27765428.0,11788277.0,10979973.0
731,9/16/20,29930054,988935,305346.0,5878.0,0.0,0.0,0.0,0.0,0.0,0.0
732,9/16/21,227532381,4671701,584146.0,10469.0,5450252950.0,2001910448.0,1278120720.0,28769793.0,12397217.0,11662503.0
733,9/17/20,30244656,994585,314602.0,5650.0,0.0,0.0,0.0,0.0,0.0,0.0
734,9/17/21,228154365,4680748,621984.0,9047.0,5172702372.0,1860502079.0,1144210324.0,23795270.0,9529852.0,9495845.0
735,9/18/20,30572440,1000443,327784.0,5858.0,0.0,0.0,0.0,0.0,0.0,0.0
736,9/18/21,228679924,4687248,525559.0,6500.0,5101761893.0,2915097589.0,2130198000.0,31745992.0,15566531.0,11991045.0
737,9/19/20,30863895,1005761,291455.0,5318.0,0.0,0.0,0.0,0.0,0.0,0.0
738,9/19/21,229045546,4693209,365622.0,5961.0,5477906127.0,2017788939.0,1289551390.0,19705341.0,8750555.0,7060498.0
739,9/2/20,26081052,908636,282070.0,6291.0,0.0,0.0,0.0,0.0,0.0,0.0
740,9/2/21,219683633,4544402,673253.0,11183.0,5029892328.0,1848908987.0,1133321439.0,31255935.0,12658491.0,10150080.0
741,9/20/20,31119557,1009728,255662.0,3967.0,0.0,0.0,0.0,0.0,0.0,0.0
742,9/20/21,229570902,4701397,525356.0,8188.0,5591264372.0,2099132110.0,1330227332.0,20310478.0,8729607.0,7720943.0
743,9/21/20,31380076,1014138,260519.0,4410.0,0.0,0.0,0.0,0.0,0.0,0.0
744,9/21/21,230058132,4710725,487230.0,9328.0,5548179546.0,2030619509.0,1323007981.0,24162208.0,11589817.0,10460255.0
745,9/22/20,31663570,1020309,283494.0,6171.0,0.0,0.0,0.0,0.0,0.0,0.0
746,9/22/21,230598526,4720668,540394.0,9943.0,5525902184.0,2056443912.0,1304113931.0,22647001.0,9354740.0,8733729.0
747,9/23/20,31975637,1026857,312067.0,6548.0,0.0,0.0,0.0,0.0,0.0,0.0
748,9/23/21,231144244,4730449,545718.0,9781.0,5492057019.0,1991461013.0,1298462788.0,25773868.0,10797545.0,10094079.0
749,9/24/20,32296288,1032543,320651.0,5686.0,0.0,0.0,0.0,0.0,0.0,0.0
